건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도,지번주소,위도,경도
신축,서울특별시 서대문구 북아현동 1-338,대,417.0,245.77,1148.17,2022-02-07,4,2,공동주택,다세대주택,북아현동 1-338,37.55947205,126.9552493630483
신축,서울특별시 서대문구 대현동 27-4 외2필지,대,226.8,142.22,1457.84,2022-02-04,10,1,업무시설,근생및업무시설(오피스텔),대현동 27-4,35.5259654,129.3240666
신축,서울특별시 서대문구 연희동 267-10,대,5019.0,1504.54,12059.56,2022-01-28,3,4,공동주택,"연립주택, 다세대주택",연희동 267-10,37.54135,126.65988
신축,서울특별시 서대문구 연희동 74-6,대,280.7,167.96,635.67,2022-01-27,4,1,단독주택,다가구주택,연희동 74-6,37.54135,126.65988
신축,서울특별시 서대문구 연희동 712-14 외1필지,대,218.4,123.84,326.94,2022-01-25,2,1,공동주택,다세대주택,연희동 712-14,37.54135,126.65988
신축,서울특별시 서대문구 연희동 107-18,대,363.3,195.62,361.35,2022-01-19,3,0,단독주택,,연희동 107-18,37.54135,126.65988
신축,서울특별시 서대문구 봉원동 42-11,대,160.0,68.48,156.61,2022-01-13,3,1,공동주택,다세대주택,봉원동 42-11,37.57217,126.94662
신축,서울특별시 서대문구 창천동 33-5,대,236.4,118.05,865.18,2022-01-12,6,2,제1종근린생활시설,"(휴게음식점, 의원),제2종근린생활시설(사무소,일반음식점)",창천동 33-5,37.55844,126.93363
신축,서울특별시 서대문구 북아현동 1-1645,대,180.0,102.42,335.58,2022-01-05,5,1,공동주택,다세대주택,북아현동 1-1645,0.0,0.0
신축,서울특별시 서대문구 연희동 79-32 외1필지,대,660.2,169.49,2272.1,2022-01-05,14,1,업무시설,오피스텔 (27호) 및 다세대주택 12세대,연희동 79-32,37.54135,126.65988
신축,서울특별시 서대문구 창천동 5-38,대,107.1,53.53,325.25,2022-01-04,5,1,제2종근린생활시설,,창천동 5-38,37.55844,126.93363
신축,서울특별시 서대문구 대현동 40-17 외6필지,대,871.2,507.39,6874.61,2021-12-30,19,2,공동주택,업무시설(오피스텔) 및 근린생활시설,대현동 40-17,35.526350199999996,129.32716570682675
신축,서울특별시 서대문구 북가좌동 3-46 외1필지,대,357.0,201.38,686.4,2021-12-29,6,1,공동주택,도시형생활주택(단지형다세대),북가좌동 3-46,37.57953,126.91156
신축,서울특별시 서대문구 연희동 161-7,대,222.36,111.14,582.07,2021-12-15,6,1,공동주택,도시형생활주택단지형다세대,연희동 161-7,37.54135,126.65988
신축,서울특별시 서대문구 남가좌동 331-21,대,172.9,83.75,334.99,2021-12-10,5,0,제2종근린생활시설,"사무소,소매점",남가좌동 331-21,37.57744,126.9179
신축,서울특별시 서대문구 북가좌동 294-12 외1필지,대,402.6,241.29,797.03,2021-12-09,5,0,단독주택,다가구주택,북가좌동 294-12,37.57953,126.91156
신축,서울특별시 서대문구 연희동 218-25,대,163.6,81.68,266.23,2021-12-09,5,0,단독주택,다가구 주택,연희동 218-25,37.54135,126.65988
신축,서울특별시 서대문구 연희동 48-7,대,643.08,308.29,1577.1,2021-12-02,6,1,공동주택,도시형생활주택(단지형다세대),연희동 48-7,37.54135,126.65988
